Date,Open,High,Low,Close,Adjusted_close,Volume
1995-01-03,749.8907,759.6295,749.8907,749.8907,749.8907,4462
1995-01-04,759.6295,759.6295,749.8907,759.6295,759.6295,2698
1995-01-05,740.1518,740.1518,730.413,740.1518,740.1518,1712
1995-01-06,740.1518,749.8907,740.1518,740.1518,740.1518,685
1995-01-09,720.6742,720.6742,710.9353,720.6742,720.6742,524
1995-01-10,701.1965,701.1965,691.4576,701.1965,701.1965,1629
1995-01-11,691.4576,691.4576,685.6143,691.4576,691.4576,421
1995-01-13,642.7634,652.5023,642.7634,642.7634,642.7634,5789
1995-01-16,594.0692,603.8081,594.0692,594.0692,594.0692,6677
1995-01-17,613.5469,623.2858,613.5469,613.5469,613.5469,5827
1995-01-18,613.5469,613.5469,603.8081,613.5469,613.5469,4182
1995-01-19,623.2858,623.2858,613.5469,623.2858,623.2858,1589
1995-01-20,594.0692,594.0692,584.3304,594.0692,594.0692,2842
1995-01-23,574.5916,574.5916,564.8527,574.5916,574.5916,2336
1995-01-24,564.8527,574.5916,564.8527,564.8527,564.8527,1871
1995-01-25,564.8527,564.8527,555.1139,564.8527,564.8527,2079
1995-01-26,584.3304,594.0692,574.5916,584.3304,584.3304,1476
1995-01-27,584.3304,584.3304,564.8527,584.3304,584.3304,3504
1995-01-30,584.3304,584.3304,574.5916,584.3304,584.3304,655
1995-02-01,652.5023,662.2411,652.5023,652.5023,652.5023,6495
1995-02-02,613.5469,613.5469,603.8081,613.5469,613.5469,1689
1995-02-03,642.7634,652.5023,642.7634,642.7634,642.7634,1789
1995-02-06,642.7634,652.5023,642.7634,642.7634,642.7634,4382
1995-02-07,642.7634,642.7634,633.0246,642.7634,642.7634,1517
1995-02-08,633.0246,633.4142,623.2858,633.0246,633.0246,701
1995-02-09,623.2858,633.0246,623.2858,623.2858,623.2858,398
1995-02-10,633.0246,633.0246,623.2858,633.0246,633.0246,1517
1995-02-14,623.2858,623.2858,613.5469,623.2858,623.2858,1024
1995-02-15,613.5469,623.2858,613.5469,613.5469,613.5469,742
1995-02-16,603.8081,613.5469,603.8081,603.8081,603.8081,2813
1995-02-17,594.0692,594.0692,584.3304,594.0692,594.0692,1450
1995-02-20,594.0692,594.0692,584.3304,594.0692,594.0692,380
1995-02-21,584.3304,633.0246,584.3304,584.3304,584.3304,403
1995-02-22,594.0692,594.0692,584.3304,594.0692,594.0692,2049
1995-02-23,584.3304,633.0246,584.3304,584.3304,584.3304,1628
1995-02-24,584.3304,584.3304,574.5916,584.3304,584.3304,5090
1995-02-27,555.1139,564.8527,555.1139,555.1139,555.1139,2829
1995-02-28,594.0692,594.0692,574.5916,594.0692,594.0692,1245
1995-03-01,594.0692,594.0692,574.5916,594.0692,594.0692,1024
1995-03-02,584.3304,584.3304,574.5916,584.3304,584.3304,798
1995-03-06,564.8527,564.8527,555.1139,564.8527,564.8527,1052
1995-03-07,564.8527,564.8527,555.1139,564.8527,564.8527,1720
1995-03-08,555.1139,555.1139,545.375,555.1139,555.1139,1135
1995-03-09,525.8974,535.6362,525.8974,525.8974,525.8974,1533
1995-03-10,525.8974,525.8974,496.6808,525.8974,525.8974,2195
1995-03-14,486.942,496.6808,486.942,486.942,486.942,1242
1995-03-15,506.4197,506.4197,486.942,506.4197,506.4197,3558
1995-03-16,516.1585,535.6362,516.1585,516.1585,516.1585,796
1995-03-20,525.8974,525.8974,516.1585,525.8974,525.8974,1337
1995-03-22,525.8974,525.8974,516.1585,525.8974,525.8974,375
1995-03-23,506.4197,506.4197,486.942,506.4197,506.4197,1065
1995-03-24,477.2032,496.6808,477.2032,477.2032,477.2032,3673
1995-03-28,486.942,486.942,457.7255,486.942,486.942,572
1995-03-29,477.2032,477.2032,467.4643,477.2032,477.2032,1096
1995-03-30,477.2032,486.942,477.2032,477.2032,477.2032,1219
