Date,Open,High,Low,Close,Adjusted_close,Volume
1995-01-03,4.9185,4.9185,4.8593,4.9185,4.9185,1530562
1995-01-04,4.9185,4.9185,4.8593,4.9185,4.9185,2152406
1995-01-05,4.6815,4.7407,4.6815,4.6815,4.6815,422719
1995-01-06,4.6815,4.7407,4.6815,4.6815,4.6815,356906
1995-01-09,4.6815,4.6815,4.6222,4.6815,4.6815,2798297
1995-01-10,4.6222,4.7407,4.563,4.6222,4.6222,8852624
1995-01-11,4.563,4.563,4.5037,4.563,4.563,3271218
1995-01-13,4.3994,4.4444,4.3852,4.3994,4.3994,256922
1995-01-16,4.1719,4.2074,4.1481,4.1719,4.1719,983391
1995-01-17,4.4444,4.5037,4.4444,4.4444,4.4444,4298906
1995-01-18,4.563,4.563,4.5037,4.563,4.563,1221750
1995-01-19,4.563,4.6222,4.563,4.563,4.563,4079109
1995-01-20,4.3852,4.4444,4.3259,4.3852,4.3852,2720672
1995-01-23,4.3852,4.4444,4.3852,4.3852,4.3852,255656
1995-01-24,4.3259,4.3852,4.3259,4.3259,4.3259,3091500
1995-01-25,4.2667,4.3259,4.2667,4.2667,4.2667,679641
1995-01-26,4.2074,4.2667,4.2074,4.2074,4.2074,1862578
1995-01-27,4.2667,4.2667,4.2074,4.2667,4.2667,831094
1995-01-30,4.2667,4.2667,4.2074,4.2667,4.2667,155672
1995-02-01,4.2667,4.3259,4.2667,4.2667,4.2667,1773562
1995-02-02,4.2667,4.2667,4.2074,4.2667,4.2667,1374469
1995-02-03,4.4444,4.4444,4.3852,4.4444,4.4444,2973375
1995-02-06,4.3852,4.4444,4.3852,4.3852,4.3852,1207406
1995-02-07,4.3852,4.3852,4.3259,4.3852,4.3852,1630969
1995-02-08,4.2074,4.2667,4.1481,4.2074,4.2074,751781
1995-02-09,4.2074,4.2667,4.1481,4.2074,4.2074,1434375
1995-02-10,4.2074,4.2074,4.1481,4.2074,4.2074,437906
1995-02-14,4.2667,4.2667,4.2074,4.2667,4.2667,3638250
1995-02-15,4.2074,4.2667,4.2074,4.2074,4.2074,373359
1995-02-16,4.3852,4.3852,4.2074,4.3852,4.3852,551391
1995-02-17,4.3852,4.3852,4.2667,4.3852,4.3852,1420875
1995-02-20,4.563,4.6222,4.3259,4.563,4.563,2701687
1995-02-21,4.4444,4.563,4.4444,4.4444,4.4444,2556984
1995-02-22,4.4444,4.4444,4.3852,4.4444,4.4444,1103203
1995-02-23,4.5037,4.5037,4.3852,4.5037,4.5037,2019094
1995-02-27,4.1481,4.3852,4.1481,4.1481,4.1481,2162953
1995-02-28,4.2667,4.3259,4.1481,4.2667,4.2667,617625
1995-03-01,4.2667,4.3259,4.2667,4.2667,4.2667,804937
1995-03-02,4.3259,4.3259,4.2667,4.3259,4.3259,1420453
1995-03-07,4.2667,4.2667,4.2074,4.2667,4.2667,1360125
1995-03-08,4.2074,4.2074,4.1481,4.2074,4.2074,856406
1995-03-09,4.0889,4.1481,4.0889,4.0889,4.0889,1881562
1995-03-10,4.0296,4.1481,3.9704,4.0296,4.0296,1438172
1995-03-14,3.9704,4.0296,3.9111,3.9704,3.9704,542109
1995-03-15,3.9111,3.9775,3.9111,3.9111,3.9111,411328
1995-03-16,4.0296,4.0889,3.9111,4.0296,4.0296,499500
1995-03-20,3.9704,4.0889,3.9704,3.9704,3.9704,640406
1995-03-22,4.0889,4.0889,4.0889,4.0889,4.0889,1122187
1995-03-23,4.1481,4.1481,4.1481,4.1481,4.1481,146812
1995-03-24,4.1481,4.1481,4.0889,4.1481,4.1481,305859
1995-03-28,4.3852,4.3852,4.1481,4.3852,4.3852,1321734
1995-03-29,4.3852,4.4444,4.3259,4.3852,4.3852,943734
1995-03-30,4.3852,4.3852,4.2667,4.3852,4.3852,3777890
1995-03-31,4.3259,4.3852,4.3259,4.3259,4.3259,1193484
1995-04-03,4.2667,4.3259,4.2074,4.2667,4.2667,470812
1995-04-04,4.2667,4.2667,4.2667,4.2667,4.2667,908297
1995-04-05,4.3259,4.3259,4.3259,4.3259,4.3259,853875
1995-04-07,4.2145,4.3259,4.2074,4.2145,4.2145,2543906
1995-04-10,4.2074,4.2667,4.2074,4.2074,4.2074,128672
1995-04-11,4.2074,4.2667,4.2074,4.2074,4.2074,2689453
1995-04-12,4.2667,4.2667,4.2667,4.2667,4.2667,777094
1995-04-18,4.3259,4.5037,4.3259,4.3259,4.3259,1390922
1995-04-19,4.2667,4.2667,4.2074,4.2667,4.2667,949641
1995-04-21,4.2667,4.3852,4.2667,4.2667,4.2667,4938468
1995-04-24,4.3852,4.3852,4.3259,4.3852,4.3852,7383655
1995-04-25,4.4444,4.5185,4.4444,4.4444,4.4444,2442825
1995-04-26,4.3704,4.3704,4.3704,4.3704,4.3704,8444249
1995-04-28,4.2963,4.3704,4.2963,4.2963,4.2963,3422250
1995-05-02,4.2963,4.3704,4.2963,4.2963,4.2963,2042212
1995-05-03,4.3704,4.3704,4.2963,4.3704,4.3704,494100
1995-05-04,4.3704,4.3704,4.2963,4.3704,4.3704,106312
1995-05-05,4.3704,4.3704,4.2963,4.3704,4.3704,442800
1995-05-15,4.7407,4.8889,4.7407,4.7407,4.7407,5940674
1995-05-17,4.963,4.963,4.8889,4.963,4.963,5272762
1995-05-18,4.8148,4.963,4.8148,4.8148,4.8148,1500525
1995-05-19,4.8889,4.8889,4.7407,4.8889,4.8889,6905587
1995-05-22,4.963,4.963,4.8148,4.963,4.963,16461898
1995-05-26,5.3333,5.3333,5.2593,5.3333,5.3333,4529587
1995-05-29,5.2593,5.3333,5.1852,5.2593,5.2593,749587
1995-05-30,5.4074,5.4815,5.2593,5.4074,5.4074,1814400
1995-05-31,5.4815,5.4815,5.4074,5.4815,5.4815,2798550
1995-06-06,5.5556,5.6296,5.3333,5.5556,5.5556,864337
1995-06-13,5.2593,5.3333,5.2593,5.2593,5.2593,1308825
