Date,Open,High,Low,Close,Adjusted_close,Volume
1994-06-27,2.9573,2.9957,2.9573,2.9573,2.9573,187469
1994-06-28,2.9957,2.9957,2.9573,2.9957,2.9957,1822619
1995-01-03,3.3029,3.3798,3.2261,3.3029,3.3029,1864279
1995-01-04,3.2645,3.3029,3.2261,3.2645,3.2645,2180634
1995-01-05,3.2261,3.2645,3.2261,3.2261,3.2261,2720910
1995-01-06,3.2261,3.2645,3.1877,3.2261,3.2261,406184
1995-01-09,2.9957,3.1493,2.9957,2.9957,2.9957,824084
1995-01-10,2.9957,3.0725,2.9957,2.9957,2.9957,26037
1995-01-11,2.9957,2.9957,2.9957,2.9957,2.9957,2604
1995-01-13,2.9189,2.9573,2.9189,2.9189,2.9189,222620
1995-01-16,2.8421,2.8421,2.8421,2.8421,2.8421,36452
1995-01-17,2.8805,2.8805,2.8421,2.8805,2.8805,541578
1995-01-18,2.9189,2.9189,2.8805,2.9189,2.9189,1027176
1995-01-23,2.8421,2.8421,2.8421,2.8421,2.8421,1536208
1995-01-24,2.7653,2.8421,2.7653,2.7653,2.7653,951668
1995-01-25,2.7653,2.7653,2.7268,2.7653,2.7653,3612692
1995-01-26,2.7653,2.7653,2.7653,2.7653,2.7653,3263790
1995-01-27,2.7653,2.7653,2.7653,2.7653,2.7653,2826362
1995-01-30,2.7268,2.8421,2.7268,2.7268,2.7268,350203
1995-02-01,2.8421,2.8421,2.8421,2.8421,2.8421,378844
1995-02-02,2.8421,2.8805,2.8421,2.8421,2.8421,299430
1995-02-07,2.8805,2.8805,2.8805,2.8805,2.8805,46867
1995-02-08,2.9189,2.9189,2.9189,2.9189,2.9189,169243
1995-02-10,2.8421,2.8805,2.8421,2.8421,2.8421,933441
1995-02-14,2.65,2.7268,2.65,2.65,2.65,440032
1995-02-15,2.4964,2.6116,2.4196,2.4964,2.4964,1616924
1995-02-16,2.65,2.65,2.5348,2.65,2.65,346298
1995-02-17,2.5732,2.6116,2.5348,2.5732,2.5732,628804
1995-02-20,2.6116,2.6116,2.5732,2.6116,2.6116,110659
1995-02-21,2.65,2.65,2.6116,2.65,2.65,240846
1995-02-22,2.65,2.6884,2.65,2.65,2.65,166639
1995-02-24,2.5732,2.5732,2.5732,2.5732,2.5732,1302
1995-02-27,2.5348,2.5732,2.4196,2.5348,2.5348,268185
1995-02-28,2.4964,2.4964,2.4964,2.4964,2.4964,54679
1995-03-01,2.458,2.5348,2.458,2.458,2.458,84622
1995-03-02,2.458,2.4964,2.458,2.458,2.458,78112
1995-03-06,2.458,2.458,2.458,2.458,2.458,72905
1995-03-07,2.458,2.458,2.458,2.458,2.458,6509
1995-03-08,2.3428,2.3812,2.3044,2.3428,2.3428,270789
1995-03-09,2.3044,2.3428,2.3044,2.3044,2.3044,390561
1995-03-10,2.266,2.3044,2.266,2.266,2.266,341090
1995-03-14,2.1892,2.1892,2.1508,2.1892,2.1892,111961
1995-03-16,2.1892,2.1892,2.1892,2.1892,2.1892,52075
1995-03-22,2.266,2.266,2.266,2.266,2.266,117168
1995-03-23,2.0739,2.2276,2.0739,2.0739,2.0739,378844
1995-03-24,2.0739,2.0739,2.0739,2.0739,2.0739,1961919
1995-03-28,2.1123,2.1123,2.1123,2.1123,2.1123,147111
1995-03-29,2.3428,2.4196,2.1892,2.3428,2.3428,1304475
1995-03-30,2.5348,2.65,2.3812,2.5348,2.5348,2670137
1995-03-31,2.5348,2.5348,2.4964,2.5348,2.5348,1301871
1995-04-03,2.5348,2.5348,2.5348,2.5348,2.5348,675671
1995-04-05,2.6116,2.6116,2.5348,2.6116,2.6116,1567453
1995-04-07,2.4964,2.5348,2.4196,2.4964,2.4964,1334418
1995-04-11,2.5732,2.6116,2.5348,2.5732,2.5732,123678
1995-04-12,2.5732,2.5732,2.5732,2.5732,2.5732,1088364
1995-04-18,2.5348,2.5348,2.5348,2.5348,2.5348,429617
1995-04-19,2.5348,2.5348,2.5348,2.5348,2.5348,847518
1995-04-21,2.458,2.5348,2.458,2.458,2.458,874857
1995-04-25,2.3044,2.3044,2.3044,2.3044,2.3044,268185
1995-04-26,2.5348,2.5348,2.4964,2.5348,2.5348,844914
1995-04-28,2.4964,2.4964,2.4964,2.4964,2.4964,305940
1995-05-02,2.4964,2.4964,2.458,2.4964,2.4964,4609925
1995-05-03,2.4964,2.4964,2.4964,2.4964,2.4964,2545158
1995-05-04,2.5348,2.5348,2.458,2.5348,2.5348,1184703
1995-05-05,2.7653,2.8037,2.5732,2.7653,2.7653,10301704
1995-05-16,3.3413,3.3413,3.0725,3.3413,3.3413,1642961
1995-05-17,3.3413,3.3413,3.2261,3.3413,3.3413,2800324
1995-05-18,3.3563,3.401,3.3115,3.3563,3.3563,350837
1995-05-19,3.3115,3.3115,3.2668,3.3115,3.3115,836869
1995-05-30,3.2668,3.2668,3.222,3.2668,3.2668,781003
1995-05-31,3.2668,3.2668,3.222,3.2668,3.2668,1032399
1995-06-05,3.58,3.6248,3.5353,3.58,3.58,2480439
1995-06-06,3.58,3.6248,3.58,3.58,3.58,1327370
1995-06-13,3.2668,3.2668,3.2668,3.2668,3.2668,111732
1995-06-19,3.043,3.1325,2.7745,3.043,3.043,384356
1995-06-20,2.9983,3.043,2.9983,2.9983,2.9983,7709474
1995-06-23,3.1325,3.1325,2.9983,3.1325,3.1325,1405582
1995-06-26,3.1325,3.1325,3.1325,3.1325,3.1325,1473739
1995-06-27,3.0878,3.1325,3.043,3.0878,3.0878,1310611
1995-06-28,3.043,3.0878,3.043,3.043,3.043,544132
1995-06-29,3.0878,3.0878,3.043,3.0878,3.0878,1020109
1995-07-04,3.222,3.222,3.1773,3.222,3.222,1548599
1995-07-07,3.222,3.2668,3.1773,3.222,3.222,606702
1995-09-12,3.3115,3.3115,3.3115,3.3115,3.3115,167597
1995-09-13,3.4458,3.4458,3.3563,3.4458,3.4458,213407
1995-09-14,3.58,3.58,3.4458,3.58,3.58,1451392
1995-09-15,3.58,3.58,3.5353,3.58,3.58,2166474
1995-09-18,3.4905,3.58,3.4905,3.4905,3.4905,1235750
1995-09-19,3.4458,3.4458,3.401,3.4458,3.4458,201117
1995-09-22,3.3115,3.3115,3.3115,3.3115,3.3115,1029047
1995-09-25,3.3115,3.3563,3.2668,3.3115,3.3115,2127368
1995-09-26,3.2668,3.3115,3.2668,3.2668,3.2668,728489
1995-09-27,3.3115,3.3115,3.2668,3.3115,3.3115,344133
1995-09-28,3.401,3.401,3.2668,3.401,3.401,226815
1995-09-29,3.3115,3.3115,3.3115,3.3115,3.3115,44693
1995-10-02,3.3115,3.3563,3.3115,3.3115,3.3115,87151
1995-10-03,3.3115,3.3115,3.3115,3.3115,3.3115,86033
1995-10-04,3.3115,3.3115,3.2668,3.3115,3.3115,1289382
1995-10-05,3.4458,3.4458,2.685,3.4458,3.4458,945249
1995-10-06,3.58,3.6248,3.4458,3.58,3.58,3782111
1995-10-10,3.4905,3.4905,3.4458,3.4905,3.4905,516200
1995-10-11,3.58,3.58,3.4905,3.58,3.58,1398878
1995-10-12,3.58,3.58,3.58,3.58,3.58,375418
1995-10-13,3.58,3.58,3.58,3.58,3.58,136312
1995-10-16,3.58,3.6248,3.58,3.58,3.58,1839101
1995-10-17,3.58,3.58,3.58,3.58,3.58,197765
1995-10-18,3.5353,3.5353,3.5353,3.5353,3.5353,72625
1995-10-19,3.401,3.5353,3.401,3.401,3.401,1453627
1995-10-20,3.4905,3.5353,3.4458,3.4905,3.4905,2954181
1995-10-24,3.4905,3.4905,3.401,3.4905,3.4905,96089
1995-10-25,3.4905,3.4905,3.4458,3.4905,3.4905,248044
1995-10-26,3.4458,3.4905,3.4458,3.4458,3.4458,4469
1995-10-27,3.4458,3.4458,3.401,3.4458,3.4458,227932
1995-10-30,3.4458,3.4458,3.401,3.4458,3.4458,125139
1995-10-31,3.4458,3.4458,3.401,3.4458,3.4458,455865
1995-11-02,3.4458,3.4905,3.4458,3.4458,3.4458,122905
1995-11-07,3.4458,3.4458,3.4458,3.4458,3.4458,31285
1995-11-09,3.5353,3.5353,3.5353,3.5353,3.5353,873740
1995-11-10,3.222,3.5353,3.222,3.222,3.222,1719548
1995-11-13,3.3563,3.3563,3.2668,3.3563,3.3563,385474
1995-11-15,3.401,3.4458,3.222,3.401,3.401,1573180
1995-11-17,3.4905,3.4905,3.401,3.4905,3.4905,2021223
1995-11-20,3.2668,3.4458,3.2668,3.2668,3.2668,1250276
1995-11-21,3.3115,3.3115,3.222,3.3115,3.3115,3684905
1995-11-22,3.3115,3.3563,3.3115,3.3115,3.3115,402233
1995-11-23,3.2668,3.3115,3.2668,3.2668,3.2668,596646
1995-11-24,3.222,3.3563,3.1325,3.222,3.222,1262566
1995-11-27,3.2668,3.2668,3.222,3.2668,3.2668,653629
1995-11-28,3.401,3.401,3.3115,3.401,3.401,6632382
1995-11-29,3.3563,3.4458,3.3563,3.3563,3.3563,3224571
1995-12-01,3.3563,3.3563,3.3563,3.3563,3.3563,72625
1995-12-04,3.4458,3.4458,3.401,3.4458,3.4458,1541895
1995-12-05,3.3115,3.4458,3.3115,3.3115,3.3115,1299437
1995-12-06,3.3115,3.401,3.3115,3.3115,3.3115,2173178
1995-12-07,3.3563,3.3563,3.2668,3.3563,3.3563,1415638
1995-12-08,3.3115,3.3115,3.3115,3.3115,3.3115,353072
1995-12-11,3.2668,3.2668,3.2668,3.2668,3.2668,111732
1995-12-12,3.2668,3.3115,3.2668,3.2668,3.2668,996645
1995-12-13,3.2668,3.2668,3.2668,3.2668,3.2668,2811165
1995-12-14,3.222,3.2668,3.222,3.222,3.222,106145
1995-12-15,3.2668,3.2668,3.1325,3.2668,3.2668,1689380
1995-12-18,3.222,3.2668,3.222,3.222,3.222,691618
1995-12-19,3.1773,3.222,3.1773,3.1773,3.1773,4469260
1995-12-20,3.2668,3.2668,3.222,3.2668,3.2668,1743011
1995-12-21,3.3563,3.3563,3.2668,3.3563,3.3563,2406697
1995-12-22,3.3563,3.3563,3.3115,3.3563,3.3563,699439
1995-12-26,3.3115,3.3115,3.3115,3.3115,3.3115,856981
1995-12-27,3.1773,3.222,3.1325,3.1773,3.1773,750836
1995-12-28,3.2668,3.2668,3.1325,3.2668,3.2668,1899436
1995-12-29,3.3115,3.3563,3.2668,3.3115,3.3115,1602230
1996-01-02,3.222,3.2668,3.222,3.222,3.222,262569
1996-01-03,3.3115,3.3563,3.2668,3.3115,3.3115,1601559
1996-01-04,3.3563,3.401,3.3115,3.3563,3.3563,2037983
1996-01-05,3.3115,3.3563,3.2668,3.3115,3.3115,689383
1996-01-08,3.3115,3.3563,3.3115,3.3115,3.3115,1835749
1996-01-09,3.3115,3.3115,3.3115,3.3115,3.3115,22346
1996-01-10,3.3115,3.3115,3.2668,3.3115,3.3115,878210
1996-01-11,3.1773,3.1773,3.1325,3.1773,3.1773,1389940
1996-01-12,3.3563,3.3563,3.1773,3.3563,3.3563,2527367
1996-01-15,3.4458,3.4458,3.3563,3.4458,3.4458,848042
1996-01-16,3.401,3.4458,3.401,3.401,3.401,941897
1996-01-17,3.3563,3.3563,3.3563,3.3563,3.3563,20112
1996-01-18,3.4458,3.4458,3.401,3.4458,3.4458,1527370
1996-01-19,3.4905,3.5353,3.4458,3.4905,3.4905,1310611
1996-01-22,3.4905,3.4905,3.4905,3.4905,3.4905,532959
1996-01-23,3.58,3.6248,3.5353,3.58,3.58,6927353
1996-01-24,3.6695,3.7143,3.58,3.6695,3.6695,2759768
1996-01-25,3.6695,3.6695,3.6248,3.6695,3.6695,1135192
1996-01-26,3.58,3.6248,3.58,3.58,3.58,437988
1996-01-29,3.4458,3.58,3.401,3.4458,3.4458,930723
1996-01-30,3.3563,3.4458,3.3115,3.3563,3.3563,3039097
1996-01-31,3.401,3.4458,3.3563,3.401,3.401,3575408
1996-02-01,3.4458,3.4905,3.4458,3.4458,3.4458,242457
1996-02-02,3.5353,3.5353,3.4905,3.5353,3.5353,746366
1996-02-05,3.5353,3.5353,3.4905,3.5353,3.5353,929606
