Date,Open,High,Low,Close,Adjusted_close,Volume
1994-06-27,827.5,832.5,822.5,827.5,827.5,54120
1994-06-28,827.5,830,825,827.5,827.5,66460
1995-01-03,700,700,687.5,700,700,30760
1995-01-04,690,695,687.5,690,690,73800
1995-01-05,677.5,685,677.5,677.5,677.5,63300
1995-01-06,680,680,670,680,680,46000
1995-01-09,675,680,675,675,675,43740
1995-01-10,637.5,650,630,637.5,637.5,49120
1995-01-11,637.5,640,635,637.5,637.5,99340
1995-01-13,602.5,637.5,600,602.5,602.5,308760
1995-01-16,617.5,617.5,600,617.5,617.5,249420
1995-01-17,630,635,627.5,630,630,167460
1995-01-18,630,630,625,630,630,39800
1995-01-19,637.5,642.5,630,637.5,637.5,56740
1995-01-20,627.5,630,622.5,627.5,627.5,137060
1995-01-23,627.5,630,622.5,627.5,627.5,115120
1995-01-24,622.5,622.5,615,622.5,622.5,45140
1995-01-25,622.5,622.5,620,622.5,622.5,104460
1995-01-26,635,635,627.5,635,635,76400
1995-01-27,632.5,637.5,632.5,632.5,632.5,67840
1995-01-30,637.5,640,632.5,637.5,637.5,73920
1995-02-01,662.5,670,642.5,662.5,662.5,92480
1995-02-02,665,677.5,665,665,665,58860
1995-02-03,680,680,667.5,680,680,53600
1995-02-06,692.5,700,690,692.5,692.5,59520
1995-02-07,722.5,725,700,722.5,722.5,249700
1995-02-08,705,727.5,703,705,705,50140
1995-02-09,715,717.5,705,715,715,80800
1995-02-10,737.5,740,725,737.5,737.5,273020
1995-02-14,775,777.5,762.5,775,775,228320
1995-02-15,775,780,765,775,775,93760
1995-02-16,772.5,780,770,772.5,772.5,67560
1995-02-17,760,762.5,755,760,760,112940
1995-02-20,750,755,745,750,750,103080
1995-02-21,750,752.5,745,750,750,89620
1995-02-22,755,757.5,747.5,755,755,51700
1995-02-23,767.5,767.5,755,767.5,767.5,31840
1995-02-24,777.5,785,770,777.5,777.5,103520
1995-02-27,740,750,732.5,740,740,124580
1995-02-28,762.5,765,742.5,762.5,762.5,122180
1995-03-01,757.5,767.5,750,757.5,757.5,39816
1995-03-02,772.5,777.5,757.5,772.5,772.5,171640
1995-03-06,755,757.5,755,755,755,37860
1995-03-07,752.5,757.5,752.5,752.5,752.5,84180
1995-03-08,752.5,755,737.5,752.5,752.5,72640
1995-03-09,740,747.5,735,740,740,60720
1995-03-10,722.5,740,717.5,722.5,722.5,126520
1995-03-14,732.5,745,730,732.5,732.5,101620
1995-03-15,727.5,735,725,727.5,727.5,136760
