stock,value_at_risk%,volatility%,drawdown%,start_date,end_date
MEG,-5.365715131968466,3.9499692972950555,57.248139680552335,2000-01-03,2023-02-10
JGS,-4.762357387557886,3.361099481572832,43.18404421677001,2000-01-03,2023-02-10
BDO,-3.302487826140166,2.364048808604832,39.670648117361296,2000-01-03,2023-02-10
FGEN,-3.819079460103515,2.559254246995862,30.60425945105134,2000-01-03,2023-02-10
ICT,-4.827050136027982,3.520840140970809,54.64501336590437,2000-01-03,2023-02-10
ALI,-4.39048463359443,3.0704869023195265,56.026165818097674,2000-01-03,2023-02-10
SMC,-3.403674489564063,2.3859556849616044,45.2987832419407,2000-01-03,2023-02-10
TEL,-3.693763159288335,2.4600225750233156,44.65911558829917,2000-01-03,2023-02-10
GLO,-4.120043682795699,3.0926007246722174,54.75806451612903,2000-01-03,2023-02-10
BLOOM,-5.9849964057430345,7.06155356299854,100.00000000000001,2000-01-03,2023-02-10
RLC,-4.5293639349617525,3.4169892939424376,65.98290598290598,2000-01-03,2023-02-10
MER,-4.498594516191412,3.254735761561223,76.000028303108,2000-01-03,2023-02-10
AC,-4.290654296922751,2.7961709725870656,46.68882711394266,2000-01-03,2023-02-10
PGOLD,-3.114919354838712,2.134819180480623,25.79979360165118,2000-01-03,2023-02-10
LTG,-6.153221302736457,31.223316859452552,1667.806911199464,2000-01-03,2023-02-10
MPI,-4.05583575461871,3.4996761633512405,81.13251879699247,2000-01-03,2023-02-10
AP,-3.1976412776412837,2.1872887646257095,26.540880503144656,2000-01-03,2023-02-10
RRHI,-3.0320628854920977,2.053931549960988,24.50966754764223,2000-01-03,2023-02-10
URC,-4.5323917096241395,3.199716131008872,42.5426167841569,2000-01-03,2023-02-10
PSEI,-1.8877999927328795,1.318818289989865,30.903656503095497,2000-01-03,2023-02-10
