Date,Open,High,Low,Close,Adjusted_close,Volume
1994-06-27,198.2492,198.2492,193.0999,198.2492,198.2492,66405
1994-06-28,195.6745,198.2492,193.0999,195.6745,195.6745,161480
1995-01-03,205.9732,208.5478,205.9732,205.9732,205.9732,23477
1995-01-04,200.8238,203.3985,200.8238,200.8238,200.8238,11287
1995-01-05,198.2492,200.8238,195.6745,198.2492,198.2492,27616
1995-01-06,195.6745,200.8238,187.9505,195.6745,195.6745,224574
1995-01-09,198.2492,198.2492,198.2492,198.2492,198.2492,16818
1995-01-10,195.6745,195.6745,195.6745,195.6745,195.6745,188
1995-01-11,190.5252,190.5252,187.9505,190.5252,190.5252,55306
1995-01-13,172.5025,182.8012,172.5025,172.5025,172.5025,60799
1995-01-16,172.5025,175.0772,164.7785,172.5025,172.5025,208697
1995-01-17,182.8012,182.8012,172.5025,182.8012,182.8012,65126
1995-01-18,185.3759,185.3759,177.6519,185.3759,185.3759,83016
1995-01-19,187.9505,187.9505,182.8012,187.9505,187.9505,221639
1995-01-23,177.6519,177.6519,175.0772,177.6519,177.6519,89920
1995-01-24,172.5025,175.0772,172.5025,172.5025,172.5025,226493
1995-01-25,175.0772,175.0772,172.5025,175.0772,175.0772,116181
1995-01-26,175.0772,175.0772,175.0772,175.0772,175.0772,145001
1995-01-27,172.5025,175.0772,172.5025,172.5025,172.5025,6377
1995-01-30,172.5025,175.0772,172.5025,172.5025,172.5025,33880
1995-02-01,172.5025,175.0772,172.5025,172.5025,172.5025,9782
1995-02-02,175.0772,175.0772,172.5025,175.0772,175.0772,83712
1995-02-03,175.0772,175.0772,175.0772,175.0772,175.0772,90503
1995-02-06,175.0772,180.2265,175.0772,175.0772,175.0772,46841
1995-02-07,175.0772,177.6519,175.0772,175.0772,175.0772,36852
1995-02-08,177.6519,177.6519,175.0772,177.6519,177.6519,126415
1995-02-09,175.0772,177.6519,175.0772,175.0772,175.0772,258303
1995-02-10,180.2265,180.2265,177.6519,180.2265,180.2265,93118
1995-02-14,182.8012,182.8012,182.8012,182.8012,182.8012,564
1995-02-15,182.8012,182.8012,182.8012,182.8012,182.8012,16893
1995-02-16,182.8012,195.6745,180.2265,182.8012,182.8012,100342
1995-02-17,185.3759,185.3759,182.8012,185.3759,185.3759,18642
1995-02-21,182.8012,185.3759,180.2265,182.8012,182.8012,155573
1995-02-22,185.3759,187.9505,180.2265,185.3759,185.3759,11005
1995-02-23,187.9505,187.9505,185.3759,187.9505,187.9505,61684
1995-02-24,195.6745,195.6745,190.5252,195.6745,195.6745,18774
1995-02-27,182.8012,190.5252,180.2265,182.8012,182.8012,84483
