Date,Open,High,Low,Close,Adjusted_close,Volume
1994-06-27,6.9136,6.9136,6.7901,6.9136,6.9136,632610
1994-06-28,6.9136,7.037,6.7901,6.9136,6.9136,3257010
1995-01-03,9.3827,9.6296,9.3827,9.3827,9.3827,2528820
1995-01-04,9.1358,9.3827,9.0123,9.1358,9.1358,6406695
1995-01-05,8.8889,9.1358,8.7654,8.8889,8.8889,6325695
1995-01-09,8.8889,8.8889,8.5185,8.8889,8.8889,6040980
1995-01-10,8.642,8.8889,8.3951,8.642,8.642,5152410
1995-01-11,8.2716,8.5185,8.1481,8.2716,8.2716,4237110
1995-01-13,7.5309,8.2716,7.284,7.5309,7.5309,15491250
1995-01-16,7.7778,7.9012,7.4074,7.7778,7.7778,8962245
1995-01-17,8.0247,8.0247,7.7778,8.0247,8.0247,4396680
1995-01-18,8.0247,8.1481,7.9012,8.0247,8.0247,7702290
1995-01-23,7.7778,7.7778,7.4074,7.7778,7.7778,4919940
1995-01-24,7.6543,7.6543,7.6543,7.6543,7.6543,349920
1995-01-25,7.7778,7.9012,7.6543,7.7778,7.7778,4951530
1995-01-26,7.7778,8.0247,7.7778,7.7778,7.7778,11013165
1995-01-27,7.7778,7.9012,7.7778,7.7778,7.7778,7835940
1995-01-30,7.7778,7.7778,7.6543,7.7778,7.7778,983340
1995-02-01,7.7778,7.7778,7.6543,7.7778,7.7778,927450
1995-02-02,7.6543,7.7778,7.6543,7.6543,7.6543,2006370
1995-02-03,7.6543,7.7778,7.5309,7.6543,7.6543,1245375
1995-02-07,7.9012,7.9012,7.7778,7.9012,7.9012,27499500
1995-02-08,8.0247,8.0247,7.7778,8.0247,8.0247,3262680
1995-02-10,8.3951,8.5185,7.9012,8.3951,8.3951,6116715
1995-02-14,8.3951,8.3951,8.1481,8.3951,8.3951,5001750
1995-02-15,8.1481,8.3951,8.1481,8.1481,8.1481,4267890
1995-02-16,8.2716,8.2716,8.1481,8.2716,8.2716,3964140
1995-02-17,8.2716,8.2716,8.0247,8.2716,8.2716,5211135
1995-02-20,8.0247,8.1481,8.0247,8.0247,8.0247,3844260
1995-02-21,8.1481,8.1481,8.0247,8.1481,8.1481,4747815
1995-02-24,8.1481,8.2716,8.0247,8.1481,8.1481,2879955
1995-02-27,7.9012,8.0247,7.7778,7.9012,7.9012,6688575
1995-02-28,7.7778,7.9012,7.6543,7.7778,7.7778,11259000
1995-03-01,7.7778,7.7778,7.6543,7.7778,7.7778,3386610
1995-03-02,7.6543,7.7778,7.6543,7.6543,7.6543,2945160
1995-03-06,7.9012,7.9012,7.7778,7.9012,7.9012,1041255
1995-03-07,7.7778,7.7778,7.6543,7.7778,7.7778,3454245
1995-03-08,7.6543,7.6543,7.5309,7.6543,7.6543,4158540
1995-03-09,7.5309,7.7778,7.4074,7.5309,7.5309,6467850
1995-03-10,7.284,7.5309,7.284,7.284,7.284,3669705
1995-03-14,7.284,7.4074,7.1605,7.284,7.284,1813995
1995-03-15,7.284,7.284,7.284,7.284,7.284,1934280
1995-03-20,7.284,7.6543,7.284,7.284,7.284,477499
1995-03-22,7.284,7.4074,7.284,7.284,7.284,263655
1995-03-23,7.1605,7.284,7.037,7.1605,7.1605,5538375
1995-03-24,6.9136,7.1605,6.9136,6.9136,6.9136,673515
1995-03-28,7.037,7.037,6.7901,7.037,7.037,1402515
1995-03-29,7.5309,7.5309,7.037,7.5309,7.5309,2957715
1995-03-30,7.4074,7.6543,7.4074,7.4074,7.4074,694170
1995-03-31,7.5309,7.5309,7.4074,7.5309,7.5309,778410
1995-04-03,7.5309,7.5309,7.4074,7.5309,7.5309,1181628
1995-04-04,7.6543,7.6543,7.5309,7.6543,7.6543,5141475
1995-04-05,7.7778,7.7778,7.6543,7.7778,7.7778,2995380
1995-04-07,8.0247,8.0247,7.9012,8.0247,8.0247,5918670
1995-04-10,8.1481,8.1481,8.0247,8.1481,8.1481,2871450
1995-04-11,8.0247,8.1481,8.0247,8.0247,8.0247,6210270
1995-04-12,8.1481,8.1481,7.9012,8.1481,8.1481,7047810
1995-04-18,8.0247,8.1481,7.9012,8.0247,8.0247,2546640
1995-04-19,8.0247,8.0247,8.0247,8.0247,8.0247,6440310
1995-04-21,7.9012,8.0247,7.9012,7.9012,7.9012,5867235
1995-04-24,7.9012,7.9012,7.7778,7.9012,7.9012,1589625
1995-04-25,8.0247,8.0247,7.9012,8.0247,8.0247,279855
1995-04-26,7.9012,8.0247,7.9012,7.9012,7.9012,1369710
1995-04-28,8.0247,8.0247,7.9012,8.0247,8.0247,1370925
1995-05-02,8.1481,8.1481,7.9012,8.1481,8.1481,2837430
1995-05-03,8.0247,8.1481,8.0247,8.0247,8.0247,5515695
1995-05-04,8.2716,8.2716,8.0247,8.2716,8.2716,4150440
1995-05-05,8.3951,8.3951,8.2716,8.3951,8.3951,849285
1995-05-15,9.0123,9.3827,8.8889,9.0123,9.0123,1366470
1995-05-16,9.3827,9.3827,9.0123,9.3827,9.3827,9688410
1995-05-17,9.1358,9.3827,9.1358,9.1358,9.1358,2297565
1995-05-18,9.1358,9.2593,9.1358,9.1358,9.1358,5809725
1995-05-30,8.7963,8.7963,8.3333,8.7963,8.7963,1826712
1995-06-05,8.9506,8.9506,8.7963,8.9506,8.9506,1662768
1995-06-06,9.4136,9.4136,8.9506,9.4136,9.4136,4212648
1995-06-13,9.2593,9.2593,9.1049,9.2593,9.2593,2892024
1995-06-19,8.9506,8.9506,8.7963,8.9506,8.9506,606204
1995-06-20,9.1049,9.1049,8.9506,9.1049,9.1049,5163588
1995-06-23,8.9506,8.9506,8.7963,8.9506,8.9506,653184
1995-06-26,8.9506,8.9506,8.7963,8.9506,8.9506,10014516
1995-06-27,8.9506,8.9506,8.7963,8.9506,8.9506,966168
1995-06-28,8.9506,8.9506,8.7963,8.9506,8.9506,542376
1995-06-29,8.9506,8.9506,8.9506,8.9506,8.9506,169128
1995-07-03,9.2593,9.4136,9.1049,9.2593,9.2593,3747384
1995-07-04,9.5679,9.5679,9.2593,9.5679,9.5679,5368032
1995-07-05,9.8765,10.0309,9.5679,9.8765,9.8765,5075136
1995-07-07,9.8765,10.0309,9.7222,9.8765,9.8765,5178168
1995-09-12,9.5679,9.5679,9.4136,9.5679,9.5679,1330344
1995-09-13,9.5679,9.5679,9.4136,9.5679,9.5679,1065312
1995-09-14,9.5679,9.7222,9.5679,9.5679,9.5679,3634956
1995-09-15,9.7222,10.0309,9.5679,9.7222,9.7222,4134240
1995-09-18,9.4136,9.8765,9.4136,9.4136,9.4136,3054024
1995-09-19,9.5679,9.5679,9.2593,9.5679,9.5679,1701972
1995-09-22,9.7222,9.8765,9.5679,9.7222,9.7222,8521200
1995-09-25,9.5679,9.7222,9.4136,9.5679,9.5679,5906520
1995-09-26,9.4136,9.5679,9.4136,9.4136,9.4136,2354508
1995-09-27,9.1049,9.4136,9.1049,9.1049,9.1049,3402648
1995-09-28,9.1049,9.2593,9.1049,9.1049,9.1049,2292300
1995-09-29,8.9506,9.2593,8.642,8.9506,8.9506,4320864
1995-10-02,9.2593,9.2593,8.7963,9.2593,9.2593,2644164
1995-10-03,9.2593,9.4136,9.1049,9.2593,9.2593,1576908
1995-10-04,8.9506,9.2593,8.9506,8.9506,8.9506,5620428
1995-10-05,9.2593,9.2593,8.9506,9.2593,9.2593,5696892
1995-10-06,9.5679,9.5679,9.2593,9.5679,9.5679,4283280
1995-10-10,9.7222,9.7222,9.5679,9.7222,9.7222,1299240
1995-10-11,9.4136,9.5679,9.4136,9.4136,9.4136,7369704
1995-10-12,9.4136,9.5679,9.2593,9.4136,9.4136,1311228
1995-10-13,9.5679,9.5679,9.4136,9.5679,9.5679,4795200
1995-10-16,9.5679,9.5679,9.2593,9.5679,9.5679,1920996
1995-10-17,9.5679,9.7222,9.4136,9.5679,9.5679,2025972
1995-10-18,9.5679,9.5679,9.4136,9.5679,9.5679,2672352
1995-10-19,9.5679,9.5679,9.4136,9.5679,9.5679,1268784
1995-10-20,9.4136,9.5679,9.2593,9.4136,9.4136,3478788
1995-10-24,9.1049,9.2593,8.9506,9.1049,9.1049,2993436
1995-10-25,8.9506,9.1049,8.7963,8.9506,8.9506,1361772
1995-10-26,9.1049,9.2593,8.642,9.1049,9.1049,2918916
1995-10-27,9.2593,9.4136,8.7963,9.2593,9.2593,1851660
1995-10-30,9.2593,9.4136,8.7963,9.2593,9.2593,1735020
1995-11-06,9.2593,9.2593,8.7963,9.2593,9.2593,3458376
1995-11-07,9.2593,9.2593,8.9506,9.2593,9.2593,2886192
1995-11-08,9.2593,9.2593,8.9506,9.2593,9.2593,1475172
1995-11-09,9.1049,9.1049,8.9506,9.1049,9.1049,218052
1995-11-10,8.9506,9.1049,8.7963,8.9506,8.9506,1431108
1995-11-13,8.7963,8.9506,8.642,8.7963,8.7963,1550664
