Date,Open,High,Low,Close,Adjusted_close,Volume
2002-05-22,17.6712,17.8868,17.4557,17.8868,17.8868,3855978
2002-05-23,17.6712,17.8868,17.6712,17.8868,17.8868,684677
2002-05-24,17.8868,17.8868,17.6712,17.8868,17.8868,749409
2002-05-27,17.6712,17.6712,17.6712,17.6712,17.6712,1717609
2002-05-28,17.6712,17.8868,17.6712,17.8868,17.8868,1479214
2002-05-29,17.6712,17.8868,17.6712,17.8868,17.8868,884210
2002-05-30,17.6712,17.8868,17.6712,17.8868,17.8868,1347777
2002-05-31,17.6712,17.8868,17.6712,17.8868,17.8868,2033498
2002-06-03,17.6712,17.8868,17.6712,17.8868,17.8868,460202
2002-06-04,17.6712,17.8868,17.6712,17.6712,17.6712,2235351
2002-06-05,17.6712,17.8868,17.6712,17.6712,17.6712,2366208
2002-06-06,17.6712,17.6712,17.6712,17.6712,17.6712,2187904
2002-06-07,17.6712,17.6712,17.4557,17.4557,17.4557,1095228
2002-06-10,17.4557,17.4557,17.0247,17.4557,17.4557,1353461
2002-06-11,17.2402,17.2402,17.2402,17.2402,17.2402,1906702
2002-06-13,17.2402,17.2402,17.2402,17.2402,17.2402,2169691
2002-06-14,17.2402,17.2402,17.2402,17.2402,17.2402,922261
2002-06-17,17.2402,17.2402,17.2402,17.2402,17.2402,1163557
2002-06-18,17.2402,17.2402,17.2402,17.2402,17.2402,459506
2002-06-19,17.2402,17.2402,17.2402,17.2402,17.2402,1230261
2002-06-20,17.2402,17.2402,17.0247,17.2402,17.2402,668204
2002-06-21,17.0247,17.0247,16.8092,17.0247,17.0247,636302
2002-06-24,17.0247,17.0247,16.1627,16.5937,16.5937,602080
2002-06-25,16.3782,16.3782,15.9472,15.9472,15.9472,315541
2002-06-26,15.9472,15.9472,15.0852,15.0852,15.0852,571222
2002-06-27,15.3007,15.5162,14.6542,15.5162,15.5162,308232
2002-06-28,15.3007,16.3782,15.3007,16.1627,16.1627,630618
2002-07-01,15.9472,15.9472,15.5162,15.7317,15.7317,55336
2002-07-02,15.5162,15.7317,15.5162,15.7317,15.7317,38399
2002-07-03,15.5162,15.7317,15.5162,15.7317,15.7317,110091
2002-07-04,15.5162,15.5162,15.5162,15.5162,15.5162,122736
2002-07-05,15.5162,15.5162,15.3007,15.5162,15.5162,253477
2002-07-08,15.5162,15.5162,15.5162,15.5162,15.5162,20533
2002-07-09,15.3007,15.3007,15.3007,15.3007,15.3007,11021
2002-07-10,15.3007,15.3007,15.0852,15.3007,15.3007,33990
2002-07-11,15.0852,15.0852,14.8697,15.0852,15.0852,59976
2002-07-12,14.8697,14.8697,14.4387,14.6542,14.6542,278418
2002-07-16,14.8697,15.0852,14.6542,14.8697,14.8697,63688
2002-07-17,14.8697,15.0852,14.8697,14.8697,14.8697,30510
2002-07-18,14.8697,14.8697,14.6542,14.6542,14.6542,114036
2002-07-19,14.6542,14.6542,14.6542,14.6542,14.6542,69489
2002-07-22,14.6542,15.0852,14.4387,14.8697,14.8697,32830
2002-07-23,14.8697,14.8697,14.8697,14.8697,14.8697,1276
2002-07-24,14.6542,14.6542,14.6542,14.6542,14.6542,37006
2002-07-25,14.6542,14.6542,14.4387,14.4387,14.4387,16705
2002-07-26,14.4387,14.4387,14.0077,14.0077,14.0077,154870
2002-07-29,14.0077,14.4387,13.7922,14.4387,14.4387,287699
2002-07-30,14.4387,14.4387,14.4387,14.4387,14.4387,22621
2002-07-31,14.2232,14.4387,14.2232,14.4387,14.4387,183408
2002-08-01,14.2232,14.4387,14.2232,14.2232,14.2232,76333
2002-08-02,14.2232,14.2232,14.0077,14.0077,14.0077,284683
2002-08-05,14.0077,14.0077,14.0077,14.0077,14.0077,79233
2002-08-06,14.0077,14.0077,13.5767,13.5767,13.5767,79349
2002-08-07,13.7922,13.7922,13.1457,13.1457,13.1457,219718
2002-08-08,13.3612,13.7922,13.3612,13.5767,13.5767,290831
2002-08-09,13.3612,13.7922,13.3612,13.7922,13.7922,67632
2002-08-12,13.5767,13.7922,13.5767,13.7922,13.7922,27958
2002-08-13,13.7922,13.7922,13.3612,13.3612,13.3612,427256
2002-08-14,13.5767,13.7922,13.1457,13.1457,13.1457,2003452
2002-08-15,13.3612,13.5767,13.3612,13.5767,13.5767,166355
2002-08-16,13.5767,13.7922,13.5767,13.7922,13.7922,362640
2002-08-19,13.7922,14.0077,13.7922,14.0077,14.0077,94894
2002-08-20,14.0077,14.6542,14.0077,14.6542,14.6542,406375
2002-08-21,14.6542,14.6542,14.4387,14.6542,14.6542,249416
2002-08-22,14.4387,14.6542,14.4387,14.6542,14.6542,319369
2002-08-23,14.4387,15.3007,14.4387,15.3007,15.3007,354983
2002-08-26,15.3007,15.3007,15.0852,15.3007,15.3007,63804
2002-08-27,15.0852,15.5162,15.0852,15.3007,15.3007,861473
2002-08-28,15.3007,16.3782,15.0852,16.3782,16.3782,1660417
2002-08-29,16.1627,16.1627,15.9472,16.1627,16.1627,653819
2002-08-30,16.1627,16.3782,15.7317,16.3782,16.3782,411943
2002-09-02,16.1627,16.1627,16.1627,16.1627,16.1627,23202
2002-09-03,15.7317,15.7317,15.5162,15.7317,15.7317,213338
2002-09-04,15.5162,15.7317,15.5162,15.7317,15.7317,161135
2002-09-05,15.5162,15.7317,15.3007,15.7317,15.7317,207538
2002-09-06,15.5162,15.7317,15.5162,15.7317,15.7317,49535
2002-09-09,15.5162,15.9472,15.5162,15.9472,15.9472,120300
2002-09-10,15.9472,15.9472,15.5162,15.7317,15.7317,64268
2002-09-11,15.5162,15.5162,15.5162,15.5162,15.5162,47099
2002-09-12,15.5162,15.5162,15.5162,15.5162,15.5162,6032
2002-09-13,15.3007,15.9472,15.3007,15.9472,15.9472,21044831
2002-09-16,15.5162,16.1627,15.5162,16.1627,16.1627,88630
2002-09-17,15.9472,16.3782,15.9472,16.3782,16.3782,481432
2002-09-18,15.9472,16.3782,15.9472,16.3782,16.3782,451386
2002-09-19,16.3782,16.5937,16.1627,16.5937,16.5937,871333
2002-09-20,16.3782,16.8092,16.3782,16.8092,16.8092,371224
2002-09-23,16.8092,17.0247,16.5937,17.0247,17.0247,258349
2002-09-24,16.8092,16.8092,16.5937,16.8092,16.8092,79697
2002-09-25,16.5937,16.5937,16.5937,16.5937,16.5937,4524
2002-09-26,16.3782,16.5937,16.3782,16.5937,16.5937,76217
2002-09-27,16.3782,16.3782,15.9472,16.3782,16.3782,214034
2002-09-30,15.9472,16.8092,15.9472,16.8092,16.8092,314729
2002-10-01,16.3782,16.5937,16.3782,16.5937,16.5937,24246
2002-10-02,16.3782,16.5937,16.3782,16.3782,16.3782,69141
2002-10-03,16.1627,16.3782,16.1627,16.3782,16.3782,122968
2002-10-04,16.1627,16.1627,16.1627,16.1627,16.1627,35962
2002-10-07,16.1627,16.3782,16.1627,16.3782,16.3782,124128
2002-10-08,16.1627,16.1627,15.9472,15.9472,15.9472,70765
2002-10-09,15.9472,15.9472,15.9472,15.9472,15.9472,53828
2002-10-10,15.9472,16.1627,15.9472,15.9472,15.9472,123664
2002-10-11,15.7317,15.9472,15.7317,15.7317,15.7317,84686
2002-10-14,15.7317,15.7317,15.7317,15.7317,15.7317,11833
2002-10-15,15.7317,15.7317,15.5162,15.5162,15.5162,95126
2002-10-16,15.5162,15.5162,15.5162,15.5162,15.5162,40603
2002-10-17,15.3007,15.5162,15.3007,15.5162,15.5162,63804
2002-10-18,15.5162,15.5162,15.3007,15.5162,15.5162,152434
2002-10-21,15.5162,15.5162,15.3007,15.3007,15.3007,63804
2002-10-22,15.3007,15.5162,15.3007,15.5162,15.5162,160555
2002-10-23,15.5162,15.7317,15.5162,15.7317,15.7317,60324
2002-10-24,15.5162,15.5162,15.5162,15.5162,15.5162,51275
2002-10-25,15.5162,15.5162,15.5162,15.5162,15.5162,12181
2002-10-28,15.3007,15.3007,15.3007,15.3007,15.3007,2320
2002-10-29,15.3007,15.7317,15.3007,15.7317,15.7317,140949
2002-10-30,15.5162,16.1627,15.5162,16.1627,16.1627,137817
2002-11-04,15.5162,16.1627,15.5162,16.1627,16.1627,29582
