Date,Open,High,Low,Close,Adjusted_close,Volume
1994-06-27,7.6149,7.695,7.5347,7.6149,7.6149,2365376
1994-06-28,7.695,7.695,7.5347,7.695,7.695,798439
1995-01-03,7.695,7.695,7.6149,7.695,7.695,3381888
1995-01-04,7.1339,7.1339,7.0538,7.1339,7.1339,5093292
1995-01-05,6.9736,6.9736,6.8935,6.9736,6.9736,42073242
1995-01-09,6.0919,6.0919,6.0117,6.0919,6.0919,6320269
1995-01-10,6.2522,6.3324,5.8514,6.2522,6.2522,6788353
1995-01-11,6.172,6.3324,6.172,6.172,6.172,1952433
1995-01-13,5.6911,6.172,5.6109,5.6911,5.6911,2871885
1995-01-16,5.7713,5.9316,5.6911,5.7713,5.7713,2700096
1995-01-17,6.0117,6.0117,5.9316,6.0117,6.0117,2866271
1995-01-18,6.0117,6.0117,5.9316,6.0117,6.0117,1342999
1995-01-19,6.0919,6.172,6.0117,6.0919,6.0919,2116861
1995-01-23,5.6109,5.8514,4.8094,5.6109,5.6109,2367746
1995-01-24,5.6911,5.8514,5.6109,5.6911,5.6911,3580625
1995-01-25,5.7713,5.8514,5.6911,5.7713,5.7713,1082633
1995-01-26,5.7713,5.9316,5.7713,5.7713,5.7713,2794038
1995-01-27,5.7713,5.7713,5.6911,5.7713,5.7713,1003538
1995-01-30,5.9316,5.9316,5.6109,5.9316,5.9316,781722
1995-02-01,5.8514,5.8514,5.7713,5.8514,5.8514,998922
1995-02-02,5.8514,6.0117,5.8514,5.8514,5.8514,952638
1995-02-03,6.0117,6.0117,5.8514,6.0117,6.0117,1019632
1995-02-06,6.172,6.2522,5.9316,6.172,6.172,5285417
1995-02-07,6.2522,6.3324,6.172,6.2522,6.2522,6223084
1995-02-08,6.172,6.2522,6.0117,6.172,6.172,3986581
1995-02-09,6.0919,6.172,6.0919,6.0919,6.0919,4564202
1995-02-10,6.0117,6.0919,5.9316,6.0117,6.0117,2539286
1995-02-14,6.0117,6.0117,6.0117,6.0117,6.0117,1845766
1995-02-16,6.3324,6.4125,6.0919,6.3324,6.3324,9422828
1995-02-17,6.172,6.2522,6.0919,6.172,6.172,2622373
1995-02-20,6.0919,6.0919,6.0117,6.0919,6.0919,324990
1995-02-21,6.0919,6.2522,6.0919,6.0919,6.0919,1847638
1995-02-22,6.172,6.172,6.0919,6.172,6.172,1052941
1995-02-23,6.172,6.172,6.0919,6.172,6.172,1994351
1995-02-24,5.9316,6.0919,5.9316,5.9316,5.9316,1869595
1995-02-27,5.7713,5.7713,5.4506,5.7713,5.7713,1673354
1995-02-28,5.7713,5.8514,5.6911,5.7713,5.7713,1556956
1995-03-01,5.6109,5.7713,5.5308,5.6109,5.6109,1127795
