Date,Open,High,Low,Close,Adjusted_close,Volume
1995-02-06,0.1364,0.1364,0.1364,0.1364,0.0567,110000
1995-03-10,0.1136,0.1136,0.1136,0.1136,0.0473,55000
1996-08-23,1.9636,1.9636,1.9636,1.9636,0.8165,77000
1996-08-26,1.9818,1.9818,1.9818,1.9818,0.8241,68200
1996-08-27,2.0909,2.0909,2.0909,2.0909,0.8694,22000
1996-08-28,2.2727,2.2727,2.2727,2.2727,0.945,3300
1996-09-05,2.2727,2.4545,2.2727,2.2727,0.945,88000
1996-09-12,2.2727,2.4545,2.2727,2.2727,0.945,79200
1996-09-17,2.2727,2.4545,2.2727,2.2727,0.945,4400
1996-09-25,2.7273,2.7273,2.4545,2.7273,1.134,99000
1996-10-07,3.1818,3.4545,3.1818,3.1818,1.323,4400
1996-10-09,3.9091,4.0909,3.1818,3.9091,1.6254,210100
1996-10-10,4.4545,4.4545,3.9091,4.4545,1.8523,240900
1996-10-11,3.8182,4.3182,3.8182,3.8182,1.5876,38500
1996-10-14,4,4.0909,4,4,1.6632,2200
1996-10-15,3.5455,3.5455,2.8182,3.5455,1.4742,6600
1996-10-16,3.6818,3.7273,2.2727,3.6818,1.5309,95700
1996-10-17,3.3636,3.6364,3.3636,3.3636,1.3986,17600
1996-10-18,3.5455,3.6364,3.5455,3.5455,1.4742,2200
1996-10-21,4.0455,4.0455,3.6364,4.0455,1.6821,221100
1996-10-23,3.6364,3.8182,3.5455,3.6364,1.512,188100
1996-10-24,3.7273,3.9091,3.5455,3.7273,1.5498,160600
1996-10-28,3.6364,4,3.5455,3.6364,1.512,165000
1996-11-04,3.1818,3.5455,3.1818,3.1818,1.323,196900
1996-11-12,3.0909,3.6364,2.9091,3.0909,1.2852,187000
1996-11-18,3.0909,3.6364,3.0909,3.0909,1.2852,187000
1996-12-09,3.1818,3.1818,3.0909,3.1818,1.323,154000
1996-12-10,3.0909,3.1818,3.0909,3.0909,1.2852,148500
1996-12-13,3.1818,3.6364,2,3.1818,1.323,225500
1997-03-10,3.0455,3.0455,3,3.0455,1.2663,182600
1997-03-17,3.0909,3.0909,3.0909,3.0909,1.2852,16500
1997-04-03,3.0909,3.0909,3.0455,3.0909,1.2852,5500
1997-04-18,3.0909,3.0909,3.0909,3.0909,1.2852,6600
1997-05-05,3.0909,3.0909,3.0909,3.0909,1.2852,6600
1997-05-06,3,3,3,3,1.2474,36300
1997-05-21,2.2727,2.2727,2.2727,2.2727,0.945,205700
1997-05-22,3,3,3,3,1.2474,11000
1997-06-05,1.8727,2.9091,1.8182,1.8727,0.7787,2338600
1997-06-06,1.9636,1.9636,1.8182,1.9636,0.8165,49500
1997-06-09,2.0727,2.0909,2,2.0727,0.8619,15400
1997-06-10,2.0727,2.0727,2,2.0727,0.8619,9900
1997-06-16,2.2727,2.2727,2,2.2727,0.945,6600
1997-06-19,2.7273,2.7273,2.2727,2.7273,1.134,16500
1997-06-23,2.7273,2.7273,2.6364,2.7273,1.134,38500
1997-06-24,2.7273,2.7273,2.2727,2.7273,1.134,38500
1997-06-25,2.7273,2.7273,2.5909,2.7273,1.134,38500
1997-08-05,2.2727,2.2727,1.6364,2.2727,0.945,254100
1997-08-06,2,2.0727,2,2,0.8316,6600
1997-08-07,2,2,1.6364,2,0.8316,3300
1997-08-08,1.8182,1.8182,1.6364,1.8182,0.756,13200
1997-08-11,1.8182,1.8182,1.6364,1.8182,0.756,5500
1997-08-14,1.6364,1.6364,1.0909,1.6364,0.6804,5500
1997-08-15,1.6364,1.6364,1.6364,1.6364,0.6804,1100
1997-08-25,1.6364,1.6364,1.6364,1.6364,0.6804,3300
1997-08-28,1.3636,1.3636,0.9818,1.3636,0.567,7700
1997-08-29,1,1,0.9091,1,0.4158,4400
1997-09-04,1.2,1.2,1.2,1.2,0.499,5500
1997-09-05,1.3636,1.3636,1.2727,1.3636,0.567,33000
1997-09-08,1.4545,1.4545,1.3636,1.4545,0.6048,11000
1997-09-09,1.8182,1.8182,1.8182,1.8182,0.756,5500
1997-09-10,2,2,1.7273,2,0.8316,11000
1997-09-11,2,2,1.7273,2,0.8316,40700
1997-09-12,1.9455,2,1.7455,1.9455,0.8089,145200
1997-09-17,1.8182,1.8182,1.8182,1.8182,0.756,77000
1997-09-22,1.7273,1.7273,1.7273,1.7273,0.7182,22000
1997-10-16,1.7273,1.7273,1.7273,1.7273,0.7182,66000
1997-10-17,1.0909,1.9091,1.0909,1.0909,0.4536,27500
1997-12-15,0.7273,0.7273,0.7273,0.7273,0.3024,22000
1997-12-24,0.7273,0.7273,0.7273,0.7273,0.3024,11000
1997-12-29,0.7273,0.7273,0.7273,0.7273,0.3024,11000
1998-01-02,0.7273,0.7273,0.7273,0.7273,0.3024,11000
1998-01-05,0.7273,0.7273,0.7273,0.7273,0.3024,11000
1998-03-18,0.8182,0.8182,0.8182,0.8182,0.3402,11000
1998-04-21,0.9091,0.9091,0.9091,0.9091,0.378,11000
1998-05-15,1.0727,1.0727,0.8545,1.0727,0.4461,275000
1998-05-18,1.0727,1.0727,0.9091,1.0727,0.4461,137500
1998-05-19,1,1,1,1,0.4158,55000
1998-05-20,0.8727,0.9,0.8727,0.8727,0.3629,396000
1998-05-25,0.7273,0.8909,0.7273,0.7273,0.3024,110000
1998-05-26,0.8182,0.8182,0.8182,0.8182,0.3402,33000
1998-05-27,0.8182,0.8182,0.8182,0.8182,0.3402,66000
1998-05-28,0.7818,0.7818,0.7818,0.7818,0.3251,33000
1998-06-02,0.6727,0.7091,0.6727,0.6727,0.2797,99000
1998-07-09,0.5818,0.6182,0.5818,0.5818,0.2419,99000
1998-08-03,0.5273,0.5273,0.5273,0.5273,0.2192,33000
1998-08-07,0.4,0.4364,0.4,0.4,0.1663,99000
1998-08-11,0.3273,0.3455,0.3273,0.3273,0.1361,66000
1998-09-09,0.2,0.2364,0.2,0.2,0.0832,99000
1999-01-27,0.2727,0.2727,0.2727,0.2727,0.1134,11000
1999-02-05,0.2727,0.2727,0.2727,0.2727,0.1134,77000
1999-03-04,0.2727,0.2727,0.2727,0.2727,0.1134,11000
1999-04-19,0.3636,0.3636,0.3636,0.3636,0.1512,22000
1999-05-06,0.5455,0.5455,0.5455,0.5455,0.2268,11000
1999-05-10,0.7273,0.7273,0.7273,0.7273,0.3024,22000
1999-05-13,0.9091,1,0.9091,1,0.4158,22000
1999-05-14,1,1,1,1,0.4158,55000
1999-06-15,1.0909,1.0909,1.0909,1.0909,0.4536,11000
1999-06-17,1.2727,1.2727,1.2727,1.2727,0.5292,6600
1999-06-24,1.6364,1.9091,1.6364,1.9091,0.7938,16500
1999-06-25,2,2,2,2,0.8316,2200
1999-06-28,2.1818,2.7273,2.1818,2.1818,0.9072,44000
