Date,Open,High,Low,Close,Adjusted_close,Volume
1995-01-03,2.3408,2.3671,2.3145,2.3408,2.3408,314951586
1995-01-04,2.3145,2.3145,2.2882,2.3145,2.3145,22318858
1995-01-05,2.2882,2.3145,2.2882,2.2882,2.2882,318546547
1995-01-06,2.3145,2.3408,2.3145,2.3145,2.3145,24072618
1995-01-09,2.3145,2.3145,2.2882,2.3145,2.3145,13877995
1995-01-10,2.3145,2.3145,2.2882,2.3145,2.3145,24686672
1995-01-11,2.2882,2.3145,2.2882,2.2882,2.2882,19392122
1995-01-13,2.2882,2.2882,2.2619,2.2882,2.2882,58002415
1995-01-16,2.2882,2.2882,2.2619,2.2882,2.2882,74312862
1995-01-17,2.2882,2.2882,2.2619,2.2882,2.2882,20056555
1995-01-18,2.2882,2.2882,2.2619,2.2882,2.2882,77016219
1995-01-23,1.8673,1.8673,1.841,1.8673,1.8673,147864335
1995-01-24,1.578,1.6306,1.578,1.578,1.578,103289356
1995-01-25,1.7884,1.7884,1.7621,1.7884,1.7884,57735312
1995-01-26,1.9199,1.9199,1.8936,1.9199,1.9199,63423389
1995-01-27,1.841,1.841,1.8147,1.841,1.841,25840637
1995-01-30,1.7884,1.7884,1.7621,1.7884,1.7884,6416196
1995-02-01,1.9199,1.9199,1.8936,1.9199,1.9199,21030866
1995-02-02,1.9462,1.9462,1.9199,1.9462,1.9462,23911025
1995-02-03,1.9462,1.9725,1.9462,1.9462,1.9462,25667637
1995-02-07,2.2093,2.2356,2.2093,2.2093,2.2093,40207214
1995-02-08,2.1567,2.183,2.1567,2.1567,2.1567,15519591
1995-02-10,2.183,2.184,2.1567,2.183,2.183,15518640
1995-02-14,2.1304,2.1567,2.1304,2.1304,2.1304,29848146
1995-02-15,2.0777,2.0777,2.0514,2.0777,2.0777,25660983
1995-02-16,2.0777,2.0777,2.0514,2.0777,2.0777,10168958
1995-02-17,2.0514,2.0514,2.0251,2.0514,2.0514,13704996
1995-02-20,1.9725,1.9988,1.9725,1.9725,1.9725,29502146
1995-02-21,2.0251,2.0251,2.0199,2.0251,2.0251,39517116
1995-02-22,1.9988,1.9988,1.9725,1.9988,1.9988,18882628
1995-02-24,1.9199,1.9199,1.8936,1.9199,1.9199,17463461
1995-02-27,1.7884,1.8147,1.7884,1.7884,1.7884,40151131
1995-02-28,1.8147,1.841,1.8147,1.8147,1.8147,25493687
1995-03-01,1.7621,1.7621,1.7358,1.7621,1.7621,60191527
1995-03-02,1.7621,1.7621,1.7358,1.7621,1.7621,8506451
1995-03-06,1.6832,1.6832,1.6569,1.6832,1.6832,29608608
1995-03-07,1.7095,1.7358,1.7095,1.7095,1.7095,12237350
1995-03-08,1.6569,1.6832,1.6569,1.6569,1.6569,28276890
1995-03-09,1.6569,1.6569,1.6043,1.6569,1.6569,18926354
1995-03-10,1.4991,1.5254,1.4991,1.4991,1.4991,40308922
1995-03-14,1.4991,1.4991,1.4728,1.4991,1.4991,23634416
1995-03-15,1.4991,1.5254,1.4991,1.4991,1.4991,19949143
1995-03-16,1.5517,1.5517,1.5254,1.5517,1.5517,16936857
1995-03-20,1.578,1.6043,1.578,1.578,1.578,38245283
1995-03-22,1.6832,1.6832,1.578,1.6832,1.6832,14061451
1995-03-23,1.4465,1.4728,1.4465,1.4465,1.4465,37833696
1995-03-24,1.4202,1.4202,1.3939,1.4202,1.4202,45037897
1995-03-28,1.5559,1.5738,1.5559,1.5559,1.5559,58201474
1995-03-29,1.5917,1.6096,1.5917,1.5917,1.5917,35936293
1995-03-30,1.6096,1.6275,1.6096,1.6096,1.6096,13704661
1995-03-31,1.5738,1.5917,1.5738,1.5738,1.5738,11188505
1995-04-03,1.5345,1.5381,1.5202,1.5345,1.5345,9801824
1995-04-05,1.5738,1.5738,1.5559,1.5738,1.5738,7414272
1995-04-07,1.5738,1.5917,1.5738,1.5738,1.5738,3399606
1995-04-10,1.5738,1.5917,1.5738,1.5738,1.5738,3293368
1995-04-11,1.699,1.7169,1.699,1.699,1.699,40101928
1995-04-12,1.7348,1.7527,1.7348,1.7348,1.7348,25910811
1995-04-18,1.8779,1.9226,1.8332,1.8779,1.8779,2605619
1995-04-19,1.8332,1.8332,1.7884,1.8332,1.8332,6145011
1995-04-21,1.7706,1.7706,1.7527,1.7706,1.7706,10210000
1995-04-24,1.7527,1.7527,1.7348,1.7527,1.7527,6491681
1995-04-25,1.7169,1.7169,1.699,1.7169,1.7169,10942481
1995-04-26,1.6633,1.6811,1.6633,1.6633,1.6633,15499518
1995-04-28,1.6454,1.6633,1.6454,1.6454,1.6454,6161785
1995-05-02,1.6275,1.6454,1.6275,1.6275,1.6275,1627114
1995-05-03,1.6454,1.6633,1.6454,1.6454,1.6454,4875750
1995-05-04,1.7348,1.7527,1.7169,1.7348,1.7348,16802328
1995-05-05,1.7527,1.7527,1.7348,1.7527,1.7527,21678078
1995-05-15,2.0567,2.0567,2.012,2.0567,2.0567,45257251
1995-05-16,2.0567,2.0567,2.012,2.0567,2.0567,20995920
1995-05-17,2.012,2.012,1.9673,2.012,2.012,19799349
1995-05-18,2.012,2.0567,2.012,2.012,2.012,17406205
1995-05-19,2.012,2.012,1.9673,2.012,2.012,17244053
1995-05-30,2.012,2.0567,2.0066,2.012,2.012,18172235
1995-05-31,2.012,2.0567,2.012,2.012,2.012,5339841
1995-06-06,2.1461,2.1908,2.1461,2.1461,2.1461,29617947
