Date,Open,High,Low,Close,Adjusted_close,Volume
2011-10-06,11.2,11.2,10.68,10.68,10.68,28051301
2011-10-07,10.74,10.98,10.74,10.96,10.96,6454800
2011-10-10,11.02,11.6,11.02,11.6,11.6,17731900
2011-10-11,11.8,11.82,11.34,11.36,11.36,12181500
2011-10-12,11.36,11.68,11.3,11.6,11.6,1351800
2011-10-13,11.52,12.36,11.52,12.36,12.36,4896100
2011-10-14,12.3,12.4,12,12.1,12.1,7294000
2011-10-17,12.2,12.46,12.1,12.38,12.38,6994900
2011-10-18,12.38,12.38,12.12,12.26,12.26,7236600
2011-10-19,12.24,12.26,12.2,12.2,12.2,8274100
2011-10-20,12.22,12.3,12.2,12.2,12.2,4007000
2011-10-21,12.24,12.34,12.2,12.3,12.3,4269500
2011-10-24,12.34,12.34,12.2,12.2,12.2,14370500
2011-10-25,12.16,12.32,12.16,12.32,12.32,3730900
2011-10-26,12.18,12.24,12.16,12.16,12.16,1404600
2011-10-27,12.14,12.24,12.14,12.22,12.22,416100
2011-10-28,12.26,12.5,12.26,12.38,12.38,11311200
2011-11-02,12.26,12.58,12.26,12.58,12.58,6529900
2011-11-03,12.6,12.76,12.5,12.74,12.74,13131000
2011-11-04,12.76,14.48,12.76,14.48,14.48,17613301
2011-11-08,14.46,15.94,14.1,15.5,15.5,10609200
2011-11-09,15.7,15.7,14.3,14.8,14.8,5581800
2011-11-10,14.3,15,14.1,14.94,14.94,6590600
2011-11-11,14.94,15,14.34,14.56,14.56,1544600
2011-11-14,14.5,15.2,14.5,14.68,14.68,727200
2011-11-15,14.68,15.16,14.4,14.8,14.8,8558400
2011-11-16,14.92,16.2,14.8,15.52,15.52,17248000
2011-11-17,15.52,17.06,15.52,16.32,16.32,6602900
2011-11-18,16.32,17.1,16.3,16.6,16.6,9489500
2011-11-21,17.1,17.1,16.6,16.82,16.82,5792100
2011-11-22,16.5,16.82,16.02,16.16,16.16,4833800
2011-11-23,16.16,16.5,14.98,14.98,14.98,10519400
2011-11-24,14.94,15,14.68,14.72,14.72,7055600
2011-11-25,14.72,15.52,14.72,15.36,15.36,3087500
2011-11-28,15.4,15.68,15.36,15.4,15.4,1545200
2011-11-29,15.62,15.62,15.02,15.3,15.3,354700
2011-12-01,15.5,15.62,15.3,15.3,15.3,590500
2011-12-02,15.3,15.3,15.18,15.18,15.18,4481200
2011-12-05,15.1,15.18,15.04,15.12,15.12,2892400
2011-12-06,15.12,15.2,14.98,15,15,2512100
2011-12-07,15,15.42,15,15.24,15.24,15347900
2011-12-08,15.3,15.88,15.3,15.7,15.7,5359000
2011-12-09,15.76,16.72,15.76,16.72,16.72,5426700
2011-12-12,16.9,17.68,16.86,17.1,17.1,7857700
2011-12-13,17.1,17.36,16.9,17.06,17.06,2350800
2011-12-14,17.06,17.3,17,17.1,17.1,9969500
2011-12-15,17.2,17.2,17,17.02,17.02,2835600
2011-12-16,17.04,17.84,17.04,17.66,17.66,14247400
2011-12-19,17.74,18.9,17.66,18.2,18.2,5637900
2011-12-20,18.3,18.3,18,18.02,18.02,10349400
2011-12-21,18.4,18.6,18.02,18.2,18.2,4274200
2011-12-22,18.2,18.2,18.04,18.06,18.06,2966900
2011-12-23,18.06,18.1,18,18.1,18.1,5542700
2011-12-26,18.06,18.52,18,18.4,18.4,1694500
2011-12-27,18.48,18.74,18.12,18.34,18.34,1474600
2011-12-28,18.3,18.64,18.3,18.34,18.34,999300
2011-12-29,18.34,18.34,17.76,17.88,17.88,2565100
2012-01-02,18.08,18.2,17.78,18.02,18.02,1311300
2012-01-03,18.16,18.3,18.1,18.22,18.22,1445000
2012-01-04,18.28,18.44,18.12,18.2,18.2,1484400
2012-01-05,18.2,18.2,18,18.08,18.08,3212000
2012-01-06,18.2,18.2,18,18,18,1998500
2012-01-09,18.02,18.04,17.9,17.9,17.9,422400
2012-01-10,18,18.02,17.9,18,18,6012500
2012-01-11,18,19,18,18.8,18.8,7778200
2012-01-12,19,19.48,18.6,19.1,19.1,3722000
2012-01-13,19.2,19.2,18.04,18.36,18.36,6677500
2012-01-16,18.34,18.34,17.98,18,18,3135100
2012-01-17,18.04,18.18,17.96,18,18,5241300
2012-01-18,18,18.34,17.98,18,18,781000
2012-01-19,18.02,18.48,18,18.4,18.4,1435100
2012-01-20,18.32,19.36,18.32,18.68,18.68,5932500
2012-01-24,18.8,19.92,18.68,19.7,19.7,3918700
2012-01-25,19.84,19.9,19,19.5,19.5,3393500
2012-01-26,19.6,20.1,19.2,19.7,19.7,10191600
2012-01-27,19.94,19.94,19.74,19.76,19.76,1712300
2012-01-30,19.8,19.8,19.16,19.28,19.28,2192800
2012-01-31,19.28,20.1,19.24,19.62,19.62,5199100
2012-02-01,19.96,19.96,19.18,19.2,19.2,5972800
2012-02-02,19.5,19.5,19,19.2,19.2,5586300
2012-02-03,19.2,19.68,19.16,19.68,19.68,4489100
2012-02-06,19.68,21.2,19.68,20.45,20.45,10471300
2012-02-07,20.85,21.2,19.9,20.4,20.4,4300400
2012-02-08,20.8,21.6,20.8,20.9,20.9,5181000
2012-02-09,20.9,21.7,20.8,21.3,21.3,2683700
2012-02-10,21.7,23.2,21.35,22.9,22.9,8480200
2012-02-13,22.9,23.2,21.85,21.95,21.95,6828400
2012-02-14,22.1,22.15,21.4,21.55,21.55,2732100
2012-02-15,21.65,22,21.4,21.45,21.45,759800
2012-02-16,22,22,21.6,21.8,21.8,683700
2012-02-17,22.1,22.5,21.75,21.8,21.8,4882600
2012-02-20,21.8,22.25,21.2,21.5,21.5,2778000
2012-02-21,21.5,22,21.25,21.75,21.75,6815500
2012-02-22,22.2,23.6,22,23.25,23.25,10891900
2012-02-23,23.6,23.6,21.75,21.75,21.75,7287800
2012-02-24,22,22.95,20.05,21,21,12862400
2012-02-27,21.5,21.5,20.9,20.9,20.9,4256400
2012-02-28,20.5,21.35,20.5,21.25,21.25,2661900
2012-02-29,21.25,21.7,21.25,21.35,21.35,901400
2012-03-01,21.35,22.25,21.35,21.75,21.75,4725100
2012-03-02,21.75,22.3,21.75,21.85,21.85,1944500
2012-03-05,21.8,22.2,21.75,22.2,22.2,1612100
2012-03-06,22.2,22.8,22,22.8,22.8,3353000
2012-03-07,22.6,22.6,22,22.3,22.3,445200
2012-03-08,22.3,22.3,22,22,22,933300
2012-03-09,22.05,22.25,21.5,21.5,21.5,986400
2012-03-12,21.6,22,21.35,21.4,21.4,3453800
2012-03-13,21.5,21.5,21,21.2,21.2,547500
2012-03-14,21.2,21.6,20.95,21.05,21.05,4186200
2012-03-15,21.1,21.2,20.1,20.3,20.3,5577300
2012-03-16,20.35,22,20.35,21.35,21.35,8711000
2012-03-19,21.85,21.85,21.35,21.6,21.6,3611200
2012-03-20,21.55,21.8,21.2,21.5,21.5,3649700
2012-03-21,21.4,22.95,21.4,22.5,22.5,5694300
2012-03-22,22.5,23.15,21.9,22,22,3016600
2012-03-23,22,22,21.4,21.4,21.4,2780100
2012-03-26,21.5,21.6,21.3,21.5,21.5,1660800
2012-03-27,21.5,22,21.5,21.7,21.7,1821500
2012-03-28,22,22.9,21.2,21.5,21.5,20191699
2012-03-29,21.5,21.5,20.6,21.2,21.2,19729801
2012-03-30,21.2,21.3,20.4,20.4,20.4,6021700
2012-04-02,20.75,21.05,20.5,20.7,20.7,1561500
2012-04-03,20.75,21.85,20.7,21.7,21.7,5597900
2012-04-04,21.7,21.7,21.5,21.5,21.5,707000
