Date,Open,High,Low,Close,Adjusted_close,Volume
2013-11-11,56,57.3,53.6,56.5,56.5,32673051
2013-11-12,57.05,59,57.05,59,59,20931779
2013-11-13,59,60.5,59,59.9,59.9,17332279
2013-11-14,60,60.2,59,59.6,59.6,3594170
2013-11-15,59.6,60,58.7,58.7,58.7,4308570
2013-11-18,59,59.95,58.2,58.95,58.95,3386230
2013-11-19,58.95,59.7,58.6,59.5,59.5,7624650
2013-11-20,59,59,58,58.1,58.1,7972690
2013-11-21,58.2,58.5,57.8,57.95,57.95,8987600
2013-11-22,57.8,57.95,57.8,57.85,57.85,5292020
2013-11-25,57.85,57.9,57.65,57.65,57.65,2440350
2013-11-26,57.7,58.05,57.65,58,58,7528060
2013-11-27,58,58.05,57.2,57.2,57.2,5299040
2013-11-28,57.2,57.2,57,57.1,57.1,1029300
2013-11-29,57.1,57.1,55.5,56.15,56.15,2760400
2013-12-02,56.1,56.15,55.75,56,56,1582960
2013-12-03,56,56.5,55.95,56.5,56.5,2442880
2013-12-04,56.2,56.55,55.8,55.8,55.8,1463560
2013-12-05,55.8,55.8,54,55.2,55.2,3687920
2013-12-06,55,55.15,54.85,55,55,1413860
2013-12-09,54.9,55,54.9,54.95,54.95,637400
2013-12-10,55,55,54.9,54.95,54.95,3946410
2013-12-11,55,55,54,54,54,1888310
2013-12-12,53.9,53.9,50,50,50,1756300
2013-12-13,50,50.9,48,50.1,50.1,8279530
2013-12-16,50,52.8,49.8,51,51,5708260
2013-12-17,51.3,52.8,51.3,52.5,52.5,5616030
2013-12-18,52.55,54.95,52.4,53.7,53.7,783040
2013-12-19,55,58,54.25,57.3,57.3,1070250
2013-12-20,57,57,55,56.95,56.95,1788070
2013-12-23,56.95,56.95,56.95,56.95,56.95,50100
2013-12-26,56.95,56.95,55.05,56.9,56.9,201910
2013-12-27,56.9,57,55.1,55.2,55.2,190980
2014-01-02,57.2,58.45,57.2,58,58,836140
