Date,Open,High,Low,Close,Adjusted_close,Volume
1994-06-27,45.8774,46.3503,45.6409,45.8774,45.8774,497831
1994-06-28,45.8774,46.3503,45.6409,45.8774,45.8774,255310
1995-01-03,43.9855,44.222,43.9855,43.9855,43.9855,190313
1995-01-04,44.222,44.222,43.9855,44.222,44.222,272203
1995-01-05,43.9855,44.222,43.9855,43.9855,43.9855,468625
1995-01-06,44.222,44.4585,43.9855,44.222,44.222,810884
1995-01-10,43.9855,44.2693,43.749,43.9855,43.9855,605299
1995-01-13,43.749,43.9855,43.5126,43.749,43.749,1414656
1995-01-16,42.8031,43.749,42.5666,42.8031,42.8031,1403012
1995-01-17,43.5126,43.749,42.8031,43.5126,43.5126,2172855
1995-01-18,43.5126,43.749,43.5126,43.5126,43.5126,1099885
1995-01-19,43.749,43.9855,43.749,43.749,43.749,1131763
1995-01-23,43.0396,43.5126,42.0937,43.0396,43.0396,365738
1995-01-24,43.0396,43.0396,42.5666,43.0396,43.0396,1162496
1995-01-25,43.2761,43.5126,43.0396,43.2761,43.2761,824818
1995-01-26,43.749,43.749,43.5126,43.749,43.749,1036511
1995-01-27,43.5126,43.5126,43.2761,43.5126,43.5126,1010550
1995-01-30,43.749,43.749,43.2761,43.749,43.749,734911
1995-02-01,43.749,43.9855,43.5126,43.749,43.749,52112
1995-02-02,43.0396,43.5126,43.0396,43.0396,43.0396,416131
1995-02-03,43.2761,43.2761,43.0396,43.2761,43.2761,694443
1995-02-06,43.5126,43.749,43.0396,43.5126,43.5126,619234
1995-02-07,43.5126,43.749,43.2761,43.5126,43.5126,267622
1995-02-08,43.0396,43.5126,43.0396,43.0396,43.0396,255024
1995-02-09,43.0396,43.2761,43.0396,43.0396,43.0396,217801
1995-02-10,43.749,43.749,43.2761,43.749,43.749,449346
1995-02-14,45.4044,45.8774,43.9855,45.4044,45.4044,1671398
1995-02-15,45.1679,46.1139,44.222,45.1679,45.1679,3392616
1995-02-16,44.695,44.9315,44.695,44.695,44.695,3254415
1995-02-17,44.4585,44.695,44.222,44.4585,44.4585,468434
1995-02-20,44.222,44.4585,43.9855,44.222,44.222,687380
1995-02-21,44.222,44.4585,43.9855,44.222,44.222,613889
1995-02-22,44.222,44.4585,44.222,44.222,44.222,423003
1995-02-23,44.222,44.222,43.9855,44.222,44.222,725367
1995-02-24,44.695,45.1679,44.222,44.695,44.695,2700464
1995-02-27,43.5126,44.222,43.0396,43.5126,43.5126,890292
1995-02-28,43.749,43.9855,43.5126,43.749,43.749,695016
1995-03-01,43.2761,43.749,43.0396,43.2761,43.2761,900027
1995-03-02,43.2761,43.5126,43.0396,43.2761,43.2761,313053
1995-03-06,43.2761,43.5126,43.0396,43.2761,43.2761,896782
1995-03-07,43.2761,43.5126,43.0396,43.2761,43.2761,346649
1995-03-08,42.5666,43.0396,42.3302,42.5666,42.5666,330042
1995-03-09,41.6207,42.8031,41.6207,41.6207,41.6207,420140
1995-03-10,40.6748,41.8572,40.6748,40.6748,40.6748,591747
1995-03-14,40.4383,41.1478,40.4383,40.4383,40.4383,745028
